,Empresas,Cargos,Salarios,Ciudades,Urls
0,Empresa confidencial,Enfermero jefe -,"$2 a $2,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/enfermero-jefe/1885612869
1,Arturo Calle,Auxiliar punto de venta,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-punto-de-venta/1885612870
2,WEG,Auxiliar mecánico,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-mecanico/1885612871
3,Empresa confidencial,Profesional comercial y de mercadeo,"$2,5 a $3 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/profesional-comercial-y-de-mercadeo/1885612877
4,Empresa confidencial,Analista de datos,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/analista-de-datos/1885538749
5,SOCIA BPO S.A.S,Auxiliar compras,Salario a convenir,Medellín,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-compras/1885612884
6,QUIRUMEDICAS LTDA,Analista de planeación de producción - sector farmacéutico.,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/analista-de-planeacion-de-produccion-sector-farmaceutico/1885612891
7,REPRESENTACIONES CONTINENTAL S.A.S,Auxiliar administrativo contable,"$2 a $2,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-administrativo-contable/1885612885
8,S.O.S.,Analista de recobros - cali,"$1,5 a $2 millones",Cali,https://www.elempleo.com/co/ofertas-trabajo/analista-de-recobros-cali/1885612925
9,Servicio de empleo Comfama,Cocinero/a 1626117314.12,"$1 a $1,5 millones",Medellín,https://www.elempleo.com/co/ofertas-trabajo/cocinero-a-162611731412/1885612923
10,ENLACE TOTAL DE LA COSTA S.A.S.,Auxiliar administrativa cartagena,"$1 a $1,5 millones",Cartagena,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-administrativa-cartagena/1885369567
11,Empresa confidencial,Ingeniero de control y automatizacion,"$4 a $4,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/ingeniero-de-control-y-automatizacion/1885612905
12,BUREAU VERITAS,Auditor de centros de servicio - bogotá,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auditor-de-centros-de-servicio-bogota/1885612896
13,Servicio de empleo Comfama,Coordinador/a de producción 1626043662.53,"$1,5 a $2 millones",La Estrella,https://www.elempleo.com/co/ofertas-trabajo/coordinador-a-de-produccion-162604366253/1885612915
14,Empresa confidencial,Aprendiz contable,Salario a convenir,Medellín,https://www.elempleo.com/co/ofertas-trabajo/aprendiz-contable/1885612922
15,Empresa confidencial,Analista de comercio exterior,Salario a convenir,Cali,https://www.elempleo.com/co/ofertas-trabajo/analista-de-comercio-exterior/1885612912
16,Empresa confidencial,Auxiliar de nomina y contabilidad,"$2 a $2,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-nomina-y-contabilidad/1885612956
17,Empresa confidencial,Asesor de ventas tecnologia bogotá,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/asesor-de-ventas-tecnologia-bogota/1885612929
18,COLSUBSIDIO,Ejecutivo de aseguramiento retencion empresarial urgente,"$3,5 a $4 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/ejecutivo-de-aseguramiento-retencion-empresarial-urgente/1885612933
19,Servicio de empleo Comfama,Asesoría en punto de venta 305642.30,"$1 a $1,5 millones",Medellín,https://www.elempleo.com/co/ofertas-trabajo/asesoria-en-punto-de-venta-30564230/1885612937
20,Empresa confidencial,Auxiliar video cctv,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-video-cctv/1885612943
