Titulos,contenidos,Palabras claves
    Analista de planeación de producción - sector farmacéutico.  ,"Reconocido laboratorio ubicado al Norte de la ciudad de Bogotá requiere Analista de planeación de producción, profesional en áreas de administración de empresas, estadística, ingeniería industria, economía o afines  para realizar funciones propias del cargo como registro de documentos, análisis de presupuesto, realización de costeos e inventarios  ",                                planeación                            
    Auxiliar mecánico  ,"Importante multinacional del sector eléctrico, fabricante y distribuidor de equipos eléctro-electronicos está en búsqueda de bachiller o técnico mecánico con experiencia en ensamble y/o armado metalmecánico de tableros y celdas eléctricas de Baja y Media tensión.  ",                                mecanico                            
    Enfermero jefe -  ,"Para los diferentes servivios de Institución de salud se requieren enfermeros Profesionales (Cirugia, UCI, Hospitalización, Urgencias) que se encuentren inscritos en el RETHUS, con experiencia y documentos de acuerdo a normatividad vigente 3100.",                                Enfermero Jefe                            
    Auxiliar administrativo contable  ,"Nos encontramos de manera urgente Analista de Contabilidad con conocimiento en revisión de cuentas por cobrar, cuadre de caja, contabilización de gastos y conciliaciones bancarias",                                auxiliar contable                            
    Analista de datos  ,"Importante empresa de Infraestructura vial, requiere para su equipo de trabajo y para trabajar en Sibaté - Cundinamarca: ",                                analista                            
    Ingeniero de control y automatizacion  ,"Importante impresa del sector requiere para su equipo de trabajo un Ingeniero electrónico, ingeniero de automatización con seis (6) años de experiencia principalmente con conocimiento en la plataforma SCADA, red de control y plataforma Rockwell o Siemens, con disponibilidad inmediata.",                                INGENIERO DE CONTROL Y AUTOMATIZACION                            
    Profesional comercial y de mercadeo  ,"Importante institución requiere profesional en mercadeo, comunicación social, administración de empresas o a fines con experiencia en áreas de ventas, marketing, comunicaciones preferiblemente en el sector educativo en gestión comercial y generación de leads. ",                                Ventas                            
    Cocinero/a   1626117314.12  ,"Restaurante ubicado en Medellín, requiere para su equipo de trabajo cocinero/a con experiencia de 2 años en la labor. ",                                Otra                            
    Auxiliar punto de venta  ,Requerimos personal dinámico y con actitud de servicio para el cargo de Auxiliar punto de venta.,                                auxiliar                            
    Auxiliar administrativa cartagena  ,"Importante empresa en la ciudad de Cartagena requiere AUXILIAR ADMINISTRATIVA, mujer con estudios técnicos o tecnólogos en áreas administrativas, (comercial, contable, administración), experiencia de mínimo 1 año en el cargo.",                                auxiliar                            
    Analista de recobros - cali  ,"Importante empresa del sector salud requiere Profesional en Contaduría, Ingeniería industrial o afines. Debe contar con 2 años de experiencia en Ley 100,  Contabilización de los ingresos de recobro No Pos para la EPS, conocimientos contables,  manejo y análisis de bases de datos, Excel intermedio entre otros.",                                liquidación de prestaciones                            
    Auxiliar compras  ,"Importante empresa requiere Auxiliar de compras, con los siguientes requisitos:",                                Auxiliar compras                            
    Aprendiz contable  ,"Importante empresa del sector agropecuario requiere para su equipo de trabajo aprendiz contable, para desempeñar funciones asignadas por el jefe inmediato.",                                aprendiz                            
    Auxiliar de nomina y contabilidad  ,"Se requiere personal de carreras profesionales o tecnólogos con conocimiento en nomina, proceso de afiliaciones a sistema de seguridad y salud, seguimiento de incapacidades y procesos contables,",                                nomina                            
    Asesor de ventas tecnologia bogotá  ,"Importante empresa del sector retail busca para su equipo comercial asesores  con disponibilidad de tiempo para turnos rotativos, contrato directo con la compañía, excelentes beneficios, Salario + prestaciones + comisiones + incentivos.        ",                                Vendedor                            
    Ejecutivo de aseguramiento retencion empresarial urgente  ,"Nos encontramos en la búsqueda de Ejecutivo de Aseguramiento Empresarial, encargado de Garantizar la ejecución del modelo de retención para empresas en riesgo, mediante la implementación de una nueva propuesta comercial que supla las necesidades de las empresas a fin de lograr la permanencia  de las cuentas en la caja.",                                FIDELIZACIÒN                            
    Analista de comercio exterior  ,Este cargo es responsable de brindar soporte integral durante las etapas del proceso de importación de mercancía ,                                comercio exterior                            
    Coordinador/a de producción 1626043662.53  ,"Importante empresa del sector indutrial, requiere para su equipo de trabajo tecnólogo/a en producción, tecnólogo/a industrial o afines, con experiencia laboral mínima de 2 años, en cargos de coordinación en plantas de producción.",                                Otra                            
    Auditor de centros de servicio - bogotá  ,"Importante multinacional requiere AUDITOR DE CENTROS DE SERVICIO para la ciudad de BOGOTÁ. Persona con formación técnica, tecnológica o profesional en ingeniería electrónica, Industrial y/o telecomunicaciones y/o afines.  con experiencia de Experiencia especifica de 0 a 2 años en auditorias, servicio al cliente, liderazgo y sistemas. manejo de herramientas informáticas, nivel medio en manejo de office, con énfasis en excel, conocimientos básicos en sistemas de gestión, experiencia en realización de auditorías y procesos de calidad., nivel medio de inglés . Horario: 6*1. Contrato: Fijo (2 meses).        ",                                Auditoría                            
    Asesoría en punto de venta 305642.30  ,Buscamos personas con pasión por las ventas y el servicio al cliente.,                                Otra                            
    Líder de desarrollo 1626040293.141  ,Ingeniero/a de sistemas con experiencia mínima de tres (3) años para desempeñarse como Líder de Desarrollo. ,                                Otra                            
    Auxiliar video cctv  ,"Importante empresa de casinos ubicados en Normandía, requiere Auxiliar de Video CCTV, bachiller con curso en seguridad y experiencia en Cctv, control de ingreso, seguimiento, prevención y comunicaciones de alerta e informes",                                seguridad                            
    Reclutador ti  ,"Estamos en búsqueda de Reclutador TI, técnico, tecnólogo en el área de RRHH, con experiencia mínimo de 1 año en la atracción de perfiles TI.",                                Reclutador TI                            
    Ingeniero  networking  ,"Se requiere ingeniero de sistemas, telemática, electrónica o telecomunicaciones. Certificados en los siguientes fabricantes:  Experiencia especifica en gestión de redes LAN y WAN, administrador de soluciones de Backup,administrador e instalación y operaciones de los ambientes virtuales VMWARE con un salario de 3.000.000, horario de lunes a viernes de 8:00 am A 5:00 pm        ",                                lan                            
    Auxiliar de cocina  ,.        ,                                cocinero                            
    Conductor de obra -pereira  ,"Importante empresa del sector de Construcción requiere personal para el cargo de CONDUCTOR DE CAMION. Bachiller con mínimo 3 años de experiencia  en Manejo de camión ,cargue y descargue de los materiales.",                                conductor                            
    Especialista de atraccion del talento humano (cota) con ruta  ,"Importante empresa ubicada en Siberia del sector Retail se encuentra en búsqueda de Profesional en Psicología, administración de empresa o carreras a fines para desempeñarse como especialista de atracción del talento humano.",                                seleccion                            
    Ingeniero electricista  ,Postúlate como INGENIERO ELECTRICISTA para La universidad de La Salle ,                                ingeniera                            
    Auxiliar de pagos  ,"La oficina de Investigación y Desarrollo de la Pontificia Universidad Javeriana Cali se encuentra en la búsqueda de un Auxiliar de Apoyo Pagos, cuya misión principal será realizar labores de apoyo administrativo en los procesos del ciclo de compras, gestión de información financiera y fiscal y gestión de servicios y recursos financieros. Entre sus funciones se encuentran: ",                                Atención al cliente                            
    Coordinador ips odontologica  ,"Odontólogo(a) especialista  en  Gerencia de Calidad, Administración en Salud  y/o afines. Coordinar IPS Odontológica Sede Norte Cedritos",                                coordinador                            
    Analista sr. recaudos y pagos  ,"En Credicorp Capital buscamos Talento Excepcional para ocupar la posición de Analista Sr Recaudos y Pagos – Moneda Extranjera, cuyo objetivo es coordinar y supervisar la adecuada y oportuna ejecución de las operaciones de compra-venta de divisas realizadas con los clientes institucionales, corporativos y otros, de acuerdo con la normatividad internacional y de bancos del exterior.",                                moneda extranjera                            
    Project manager  ,En Cheil Colombia estamos en la búsqueda de nuestro próximo Project Manager!!!,                                ingeniería                            
    Supervisor de transporte la lucha  ,Saludos nos encontramos en la búsqueda de supervisor de operaciones en la lucha Corregimiento de Sahagun Cordoba. Debe contar con experiencia en el sector de hidrocarburos o químico pues estará a cargo de la supervisión de la  operacion que está a su responsabilidad dentro del marco legal para la operación.Planeación de despachos y entregas de GNC,                                administracion de transporte                            
    Asesor de seguros  ,"La Comuna Seguros Ltda. Es el intermediario en seguros de la Universidad Cooperativa de Colombia, la Fundación Universitaria Maria Cano, entre otras. Actualmente requerimos asesores de seguros para comercializar seguros individuales (autos, salud, vida, etc.) e impactar el mercado cautivo de cada una de estas organizaciones.",                                SEGUROS                            
"    Líder o administradora punto de venta retail (exp. en tienda de ropa, calzado, accesorios)  ","Importante empresa del sector textil, requiere integrar a su equipo de trabajo, Administrador@ Punto de Venta, con experiencia mínima de 1 año en el cargo, en el área de calzado, ropa, y/o accesorios, sus funciones principales serán:",                                coordinadora                            
"    Analista de viabilidad - bogotá d,c  ",!Estamos en busca del mejor talento!,                                Viabilidad                            
    Jefe de importaciones y logistica  ,"Reconocida empresa del sector Automotriz busca para su equipo de trabajo JEFE DE IMPORTACIONES Y LOGISTICA, profesional en negocios internacionales, comercio exterior o carreras afines, mínimo 4 años de experiencia en cargos similares en el sector automotriz, debe tener conocimiento en clasificación arancelaria, normatividad aduanera. Indispensable dominio del idioma inglés escrito y hablado. ",                                arancelaria                            
    Consultor en sistemas integrados de gestión  ,"Profesional en Ingeniería industrial, con especialización en sistemas integrados de gestión, salud y seguridad en el trabajo o afines. Mínimo dos años  de experiencia ejecutando proyectos o asesoría empresariales. Preferiblemente con formación como auditor.        ",                                auditor                            
    Desarrollador terraform iac azure  ,Ingeniero de sistemas o similar con alta experiencia en los siguientes temas,                                Terraform                            
